Carlo Di Palma
Carlo Montuori
Carlo Varini
Carlos Areces
Carlos Bardem
Carlos Faemino
Carlos Iglesias
Carlos Latre
Carlos Lauchu
Carlos Lozano
Carlos Lucas
Carlos Miranda
Carlos Perea
Carlos Pumares
Carlos Rivas
Carlos Saldanha
Carlos Sanz
Carlos Suárez
Carmela Zumbado
Carmen Argenziano
Carmen Dragon
Carmen Ejogo
Carmen Electra
Carmen Elías
Carmen Llywelyn
Carmen Maura
Carmen de Lirio
Carmen de Mairena
Carmen de la Maza
Carmine Coppola
Carol Burnett
Carol Cleveland
Carol Florence
Carol Fuchs
Carol Kane
Carol Lazare
Carol Lynley
Carol Reed
Carol Salvador
Carol Sobieski
Carol Yorke
Carole Franck
Carole Lombard
Carole Shelley
Carolina Bona
Caroline Aaron
Caroline Blakiston
Caroline Goodall
Caroline Hunt
Caroline Thompson
Carolyn Jones
Carrie Fisher
Carrie Henn
Carrie Preston
Carrie Snodgress
Carrie-Anne Moss
Carroll Baker
Carroll Cartwright
Carter Burwell
Carter De Haven
Caruso Kuypers
Cary Elwes
Cary Grant
Cary Guffey
Cary Joji Fukunaga
Cary-Hiroyuki Tagawa
Cas Anvar
Casey Affleck
Casey Siemaszko
Casper Van Dien
Caspian Tredwell-Owen
Cassandra Gaviola
Cassen
Castulo Guerra
Catalina Sandino Moreno
Cate Blanchett
Caterina Murino
Catherine Allegret
Catherine Bell
Catherine Deneuve
Catherine Frot
Catherine Hardwicke
Catherine Johnson
Catherine Keener
Catherine Lambert
Catherine Lough Haggquist
Catherine McCormack
Catherine O'Hara
Catherine Salée
Catherine Zeta-Jones
Cathleen Nesbitt
Cathy Downs
Cathy Moriarty
Cathy O'Donnell
Cathy Yuspa
Cayetana Guillén Cuervo
Cañita Brava
Cecil B. DeMille
Cecilia Roth
Cedric the Entertainer
CeeLo Green
Celeste Holm
Celia Imrie
Celia Johnson
Celia Weston
Celso Bugallo
Cerris Morgan-Moyer
Cesare Zavattini
Cha Tae-Hyun
Chad Lindberg
Chad R. Davis
Chaim Girafi
Chan Man-Lui
Chance Quinn
Chance Romero
Chang Chen
Channing Tatum
Chantal Neuwirth
Chapelle Jaffe
Charisma Carpenter
Charissa Allen
Charlene Holt
Charles 'Honi' Coles
Charles Bickford
Charles Boswell
Charles Boyer
Charles Brackett
Charles Bronson
Charles Chaplin
Charles Coburn
Charles Crichton
Charles Dance
Charles Drake
Charles Durning
Charles Edward Pogue
Charles Fleischer
Charles Grapewin
Charles Gray
Charles Hallahan
Charles Halton
Charles Kay
Charles Kemper
Charles Lang
Charles Lang Jr.
Charles Laughton
Charles Lawton Jr.
Charles Leavitt
Charles Lederer
Charles Martin Smith
Charles Mauu
Charles McGraw
Charles McKeown
Charles Minsky
Charles Napier
Charles P. Boyle
Charles Q. Murphy
Charles Randolph
Charles Rocket
Charles Rosher
Charles Ruggles
Charles S. Dutton
Charles Schnee
Charles Smith
Charles Strouse
Charles Walker
Charles Watts
Charles Williams
Charley Boorman
Charley Grapewin
Charlie Bewley
Charlie Hunnam
Charlie Kaufman
Charlie Korsmo
Charlie Martin Smith
Charlie O'Connell
Charlie Owens
Charlie Parker
Charlie Sheen
Charlie Tahan
Charlize Theron
Charlotte Ayanna
Charlotte Coleman
Charlotte Gainsbourg
Charlotte Hope
Charlotte Prior
Charlotte Rae
Charlotte Riley
Charlton Heston
Charly Hübner
Charmian Carr
Charmian May
Chase Sprague
Chazz Palminteri
Chee Thao
Cheech Marin
Chelah Horsdal
Chelcie Ross
Chelsea Field
Chema de la Peña
Cher
Cheri Oteri
Cherie Lunghi
Cherry Jones
Cheryl Hines
Chester Conklin
Chi McBride
Chiaki Kuriyama
Chico Marx
Chief Dan George
Chill Wills
Chin Chi-Ang
Chin Han
Chiquito de la Calzada
Chiwetel Ejiofor
Chloë Grace Moretz
Chloë Sevigny
Choi Jeong-ho
Chow Po-Chun
Chow Yun-Fat
Chris Bacon
Chris Bauer
Chris Browning
Chris Buck
Chris Coghill
Chris Columbus
Chris Cooper
Chris D'Arienzo
Chris Elliott
Chris Ellis
Chris Evans
Chris Hemsworth
Chris Klein
Chris Larkin
Chris Lowell
Chris Marquette
Chris Menges
Chris Messina
Chris Miller
Chris Mulkey
Chris Noth
Chris O'Donnell
Chris Owen
Chris Penn
Chris Petoyan
Chris Pine
Chris Pratt
Chris Rankin
Chris Renaud
Chris Rock
Chris Sanders
Chris Sarandon
Chris Tucker
Chris Warren Jr.
Chris Webb
Chris Wedge
Chris Weitz
Chris Williams
Chris Willow Bird
Chris Wilson
Christian Ameri
Christian Bale
Christian Berkel
Christian Conrad
Christian Coulson
Christian Serratos
Christian Slater
Christiane Paul
Christina Aguilera
Christina Applegate
Christina Eleusiniotis
Christina Hargreaves
Christina Jastrzembska
Christina Milian
Christina Ricci
Christina Welsh
Christine Adams
Christine Baranski
Christine Ebersole
Christine Seabrook
Christine Taylor
Christoph Waltz
Christophe Barratier
Christophe Beck
Christopher Allen Nelson
Christopher Cain
Christopher Carley
Christopher Challis
Christopher Crowe
Christopher De Vore
Christopher Doohan
Christopher Doyle
Christopher Eccleston
Christopher Faldona
Christopher Gartin
Christopher George
Christopher Gordon
Christopher Gore
Christopher Guest
Christopher Gunning
Christopher Hampton
Christopher John Fields
Christopher Kroon
Christopher Kyle
Christopher Lambert
Christopher Lee
Christopher Lennertz
Christopher Lloyd
Christopher Malcolm
Christopher Markus
Christopher McDonald
Christopher McQuarrie
Christopher Meloni
Christopher Mintz-Plasse
Christopher Mitchum
Christopher Nolan
Christopher Plummer
Christopher Reeve
Christopher Sanders
Christopher Villiers
Christopher Walken
Christopher Whalen
Christopher Young
Christos Voudouris
Chubby Johnson
Chuck Connors
Chuck Hayward
Chuck Low
Chuck Pfarrer
Chuck Russell
Chuck Sheetz
Chus Lampreave
Ciaran Hinds
Ciarán Hinds
Cicely Tyson
Cillian Murphy
Cinco Paul
Cindy Cheung
Cindy Margolis
Claire Danes
Claire Forlani
Claire Maurier
Claire Rushbrook
Claire Trevor
Claire-Hope Ashitey
Clancy Brown
Clancy Cooper
Clara Blandick
Clara Pradas
Clara Segura
Clare Kilner
Clark Duke
Clark Gable
Clark Gregg
Claude Akins
Claude Dauphin
Claude Jarman Jr.
Claude Rains
Claude-Michel Schönberg
Claudette Colbert
Claudette Maille
Claudia Black
Claudia Cardinale
Claudia Coronel
Claudia Gerini
Claudia Otero
Claudia Schiffer
Claudia Wells
Claudine Longet
Claudio Ermelli
Claudio Miranda
Claudio Scarchilli
Clayne Crawford
Clayton Watson
Clea DuVall
Clem Caserta
Cleo King
Cliff Curtis
Cliff Eidelman
Cliff Gorman
Cliff Hollingsworth
Cliff Osmond
Cliff Robertson
Clifton Collins Jr.
Clifton Powell
Clint Allen
Clint Eastwood
Clint Howard
Clint Mansell
Clinton Shorter
Clive Carter
Clive Francis
Clive Merrison
Clive Moss
Clive Owen
Clive Russell
Clive Swift
Clive Tickner
Cloris Leachman
Clotilde Courau
Clotilde Mollet
Clyde Bruckman
Clyde Geronimi
Clémence Poésy
Cobie Smulders
Cole Hauser
Coleen Gray
Colin Farrell
Colin Firth
Colin Friels
Colin Hanks
Colin McFarlane
Colin Patrick Lynch
Colin Stinton
Colin Strause
Colleen Camp
Colleen Dewhurst
Colleen McCauley
Collette Wolfe
Collin Chou
Colm Feore
Colm Meaney
Colm Wilkinson
Connie Booth
Connie Gilchrist
Connie Nielsen
Connie Sawyer
Connie Van
Connor Cruise
Connor Paolo
Connor Price
Conor Donovan
Conrad Hall
Conrad L. Hall
Conrad Veidt
Conrad Vernon
Constance Towers
Coolio
Cooper Huckabee
Corbin Bleu
Corey Feldman
Corey Johnson
Corey Mandell
Corey Stoll
Corey Yuen
Corin Redgrave
Corinna Tsopei
Corinne Calvet
Corinne Cole
Cormac Wibberley
Cory Hardrict
Cosima Shaw
Coté Soler
Courteney Cox
Courtney B. Vance
Courtney Eaton
Courtney Gains
Courtney Solomon
Craig Armstrong
Craig Bierko
Craig Damon
Craig Mazin
Craig Parker
Craig Pearce
Craig Roberts
Craig Storper
Craig T. Nelson
Craig Thomas
Crispin Glover
Crista Flanagan
Cristian Mercado
Cristin Milioti
Cristina Do Rego
Cristina Marcos
Cristina Tárrega
Crystal Mantecon
